iter	RMSE
214	17117.45299
215	17078.39817
216	17068.93605
217	17055.80277
218	17019.12076
219	16975.59906
220	16960.4941
221	16920.70152
222	16887.91085
223	16864.77885
224	16829.49453
225	16806.28334
226	16766.40082
227	16732.21019
228	16707.21073
229	16664.15112
230	16623.96664
231	16610.76168
232	16576.8147
233	16517.34993
234	16508.46035
235	16500.70361
236	16466.2945
237	16443.49124
238	16409.00365
239	16376.65865
240	16344.72797
241	16325.81427
242	16293.51025
243	16285.32276
244	16263.22116
245	16233.96102
246	16202.85538
247	16166.30497
248	16158.55971
249	16134.82819
250	16114.04604
251	16078.74119
252	16071.50229
253	16026.7941
254	15991.73929
255	15964.07843
256	15936.20658
257	15901.72301
258	15878.99602
259	15872.24579
260	15850.67735
261	15824.49587
262	15796.4905
263	15769.92316
264	15735.84025
265	15719.97066
266	15686.18715
267	15679.81932
268	15642.93693
269	15620.78806
270	15594.81536
271	15565.15905
272	15537.45679
273	15515.0504
274	15499.29237
275	15472.83079
276	15447.15736
277	15419.82553
278	15392.69951
279	15366.65837
280	15336.98471
281	15327.74432
282	15303.47033
283	15276.10762
284	15257.85853
285	15228.80594
286	15198.31555
287	15190.85312
288	15161.24548
289	15137.52893
290	15119.73577
291	15114.51914
292	15083.7269
293	15051.39275
294	15024.9396
295	15003.24458
296	14997.54621
297	14953.50448
298	14916.12749
299	14887.03639
300	14858.22364
301	14830.47604
302	14806.25156
303	14785.69009
304	14767.54143
305	14745.95813
306	14727.29961
307	14711.74785
308	14680.4699
309	14675.88677
310	14670.6592
311	14659.46908
312	14644.49897
313	14630.02172
314	14601.51214
315	14579.24504
316	14548.88914
317	14538.20835
318	14525.30339
319	14490.97223
320	14463.64818
321	14438.18162
322	14412.63366
323	14392.03031
324	14365.63816
325	14333.40038
326	14306.84881
327	14277.35323
328	14258.83598
329	14237.23828
330	14205.19174
331	14189.98072
332	14177.85151
333	14159.77943
334	14126.31776
335	14102.77239
336	14081.61912
337	14060.67856
338	14043.17458
339	14022.33283
340	14007.37924
341	13994.98231
342	13972.11744
343	13956.02168
344	13942.87491
345	13908.75502
346	13882.41243
347	13851.13533
348	13819.51864
349	13792.70624
350	13774.47225
351	13744.0876
352	13711.26395
353	13689.8633
354	13682.45071
355	13651.58873
356	13627.45704
357	13605.56741
358	13582.54258
359	13567.56441
360	13564.07949
361	13541.45539
362	13521.68605
363	13497.94436
364	13480.23196
365	13463.05275
366	13446.33472
367	13431.3429
368	13403.05029
369	13379.25575
370	13356.1193
371	13331.01148
372	13322.01186
373	13308.6574
374	13288.07003
375	13262.51832
376	13238.00336
377	13207.40214
378	13189.06698
379	13162.13516
380	13137.19542
381	13134.00013
382	13116.72681
383	13103.2718
384	13084.28849
385	13062.25965
386	13047.46114
387	13036.41177
388	13020.50646
389	13000.05514
390	12979.3705
391	12956.97729
392	12943.17657
393	12922.75364
394	12910.79428
395	12897.43574
396	12866.61039
397	12853.42804
398	12834.05803
399	12819.96387
400	12796.66641
401	12781.5671
402	12751.95755
403	12731.61236
404	12702.26055
405	12679.37663
406	12666.5407
407	12655.99299
408	12644.81335
409	12641.37672
410	12625.19268
411	12604.87773
412	12580.6254
413	12563.86605
414	12559.1558
415	12547.64657
416	12532.09874
417	12505.10745
418	12479.39626
419	12467.54041
420	12452.99292
421	12439.3317
422	12413.77569
423	12403.23302
424	12382.1166
425	12373.95172
426	12361.278
427	12348.19701
428	12338.65524
429	12329.61476
430	12315.73896
431	12302.08159
432	12283.99718
433	12259.19468
434	12238.87345
435	12231.53238
436	12209.80674
437	12192.61335
438	12175.567
439	12156.21925
440	12143.91438
441	12130.78973
442	12109.22177
443	12105.85747
444	12082.97896
445	12074.189
446	12053.38732
447	12039.68469
448	12030.26079
449	12015.91978
450	11995.52555
451	11967.03583
452	11949.11638
453	11928.2853
454	11917.65864
455	11897.97143
456	11887.81733
457	11880.27355
458	11857.35364
459	11831.17953
460	11815.89442
461	11805.49096
462	11787.861
463	11768.76412
464	11750.45976
465	11735.66544
466	11721.49678
467	11714.4031
468	11701.41199
469	11677.45011
470	11674.41529
471	11651.61403
472	11636.66654
473	11620.26569
474	11610.0561
475	11597.83093
476	11568.17706
477	11548.87969
478	11519.80835
479	11497.97177
480	11483.73719
481	11455.37081
482	11453.19551
483	11446.98131
484	11436.72572
485	11419.78748
486	11406.07745
487	11392.55109
488	11369.48506
489	11365.01554
490	11363.20347
491	11351.61243
492	11339.65487
493	11332.95066
494	11324.72265
495	11306.02254
496	11286.53825
497	11284.52402
498	11279.28803
499	11264.8611
500	11251.00427
501	11241.01828
502	11236.43928
503	11217.79803
504	11205.88737
505	11196.66807
506	11179.24078
507	11164.70734
508	11150.16893
509	11136.29908
510	11113.19621
511	11102.84709
512	11086.6852
513	11070.52647
514	11052.43667
515	11045.93458
516	11026.10795
517	11024.42051
518	11014.74606
519	11013.09709
520	11000.04382
521	10996.93361
522	10995.0912
523	10972.92416
524	10963.73685
525	10949.79817
526	10930.51936
527	10910.12298
528	10889.53886
529	10881.27724
530	10875.33697
531	10863.17869
532	10846.41647
533	10828.35094
534	10811.66667
535	10798.44119
536	10781.04102
537	10757.82493
538	10742.07382
539	10726.06135
540	10710.88186
541	10706.40985
542	10690.72023
543	10670.58755
544	10657.58948
545	10655.78497
546	10641.91669
547	10625.49071
548	10621.96802
549	10620.59007
550	10613.97689
551	10595.39821
552	10593.86622
553	10579.87356
554	10562.95682
555	10549.70101
556	10532.44451
557	10514.06655
558	10503.91798
559	10484.67175
560	10472.59329
561	10463.77244
562	10449.59882
563	10448.27495
564	10434.15022
565	10421.9378
566	10416.61368
567	10404.94648
568	10391.09484
569	10373.21371
570	10364.59063
571	10356.47515
572	10355.02641
573	10347.42662
574	10344.94222
575	10327.94111
576	10306.07212
577	10286.15569
578	10269.19982
579	10262.49431
580	10245.05854
581	10243.81265
582	10230.99656
583	10222.86715
584	10209.38176
585	10199.73051
586	10198.50889
587	10170.94624
588	10150.10392
589	10143.67571
590	10142.4768
591	10141.30793
592	10126.0775
593	10110.90724
594	10108.65808
595	10082.19547
596	10068.61938
597	10056.46216
598	10042.45364
599	10032.84297
600	10031.72213
601	10025.7238
602	10022.41541
603	10003.33364
604	9989.976909
605	9988.884096
606	9980.33207
607	9969.051103
608	9956.173412
609	9938.976839
610	9920.744994
611	9908.851228
612	9894.070396
613	9871.304145
614	9862.212841
615	9842.618217
616	9828.764325
617	9813.142762
618	9795.476949
619	9783.870571
620	9781.051874
621	9774.314857
622	9764.068283
623	9750.19032
624	9746.482194
625	9733.56882
626	9716.428338
627	9705.794903
628	9692.512893
629	9679.908411
630	9669.886119
631	9668.794993
632	9662.212347
633	9661.123082
634	9646.450766
635	9630.476411
636	9618.055268
637	9599.045045
638	9592.529793
639	9578.057445
640	9566.185582
641	9554.180703
642	9540.903077
643	9526.241011
644	9520.928093
645	9506.815573
646	9494.35022
647	9491.793585
648	9476.18674
649	9472.240358
650	9456.983647
651	9446.146567
652	9431.820224
653	9417.411803
654	9410.341071
655	9397.49906
656	9375.9251
657	9370.547722
658	9352.838345
659	9334.704902
660	9323.951975
661	9315.90706
662	9301.228149
663	9287.387585
664	9278.949827
665	9277.909509
666	9268.090207
667	9263.454987
668	9251.175055
669	9250.038357
670	9233.812604
671	9231.30429
672	9230.35711
673	9217.440899
674	9204.82125
675	9197.251813
676	9184.504977
677	9166.793123
678	9154.30778
679	9151.869905
680	9128.056524
681	9122.071493
682	9112.587896
683	9102.292564
684	9091.803218
685	9090.721109
686	9089.667265
687	9083.26186
688	9081.357765
689	9073.954761
690	9063.634919
691	9050.015426
692	9034.487634
693	9033.453823
694	9023.202733
695	9013.518133
696	9004.281439
697	8996.660115
698	8994.830009
699	8983.319382
700	8971.395753
701	8961.197042
702	8948.928507
703	8947.361618
704	8941.96276
705	8940.952109
706	8929.088981
707	8923.744468
708	8912.775167
709	8900.85022
710	8899.776749
711	8898.593902
712	8889.337959
713	8881.221253
714	8865.754797
715	8859.417418
716	8858.394059
717	8844.190079
718	8827.89034
719	8817.529832
720	8799.827459
721	8786.885504
722	8777.209832
723	8760.619534
724	8758.826138
725	8757.962607
726	8746.185377
727	8727.586804
728	8718.283828
729	8707.918343
730	8704.325324
731	8696.339221
732	8694.072238
733	8683.926326
734	8677.090725
735	8670.4806
736	8662.789942
737	8654.762809
738	8645.939637
739	8636.001426
740	8617.153378
741	8605.039861
742	8587.369453
743	8572.897387
744	8563.359208
745	8561.246404
746	8553.358655
747	8540.595388
748	8539.748302
749	8538.894562
750	8538.076246
751	8531.171372
752	8522.473987
753	8511.324189
754	8501.68549
755	8493.224082
756	8485.454731
757	8479.016057
758	8472.543195
759	8463.635945
760	8457.317334
761	8440.316852
762	8426.508983
763	8425.681634
764	8413.118261
765	8402.164008
766	8393.446854
767	8382.212422
768	8371.855534
769	8358.600823
770	8346.919702
771	8341.174026
772	8329.525414
773	8317.597149
774	8306.390989
775	8297.832979
776	8297.067872
777	8278.528844
778	8272.256112
779	8260.112114
780	8251.822454
781	8237.277896
782	8226.226545
783	8220.146866
784	8203.301569
785	8195.9937
786	8184.513202
787	8176.484191
788	8173.499471
789	8169.550224
790	8168.680151
791	8160.01089
792	8150.977489
793	8147.848638
794	8140.623325
795	8132.760793
796	8131.992054
797	8123.008897
798	8121.093099
799	8113.520916
800	8103.185181
801	8096.814515
802	8083.728243
803	8072.174054
804	8070.954244
805	8070.192698
806	8059.860285
807	8052.204784
808	8046.079868
809	8041.224036
810	8027.201419
811	8016.345742
812	8011.16751
813	7998.882693
814	7993.698572
815	7986.784182
816	7973.713151
817	7958.851109
818	7958.136613
819	7957.437632
820	7950.224103
821	7949.512601
822	7939.612158
823	7924.722784
824	7919.867217
825	7908.197394
826	7900.012684
827	7886.293017
828	7885.516098
829	7876.534638
830	7866.670774
831	7864.894727
832	7864.220765
833	7852.473116
834	7837.974935
835	7831.315167
836	7822.924523
837	7813.351577
838	7806.339364
839	7793.463789
840	7783.651145
841	7781.104847
842	7769.342102
843	7755.054096
844	7745.052549
845	7744.392993
846	7730.577626
847	7724.72171
848	7712.974751
849	7701.766525
850	7695.452219
851	7689.45549
852	7680.731817
853	7680.008003
854	7671.138725
855	7659.772785
856	7646.509833
857	7641.487449
858	7637.656586
859	7628.383281
860	7627.719186
861	7627.138985
862	7620.314936
863	7614.51501
864	7608.226128
865	7604.498164
866	7594.975505
867	7584.171121
868	7576.709708
869	7570.248591
870	7563.779772
871	7562.206386
872	7553.765538
873	7545.762233
874	7542.226276
875	7530.063746
876	7524.397806
877	7518.982169
878	7507.494496
879	7503.526854
880	7492.914972
881	7490.005029
882	7478.493997
883	7471.516422
884	7470.826598
885	7466.886927
886	7461.362279
887	7453.607594
888	7443.659224
889	7440.226448
890	7428.84591
891	7425.958515
892	7418.510394
893	7412.509926
894	7408.794572
895	7402.719676
896	7396.235991
897	7384.47871
898	7375.251537
899	7368.610062
900	7358.488902
901	7350.47475
902	7346.238157
903	7339.941274
904	7332.990653
905	7329.637446
906	7322.700312
907	7320.354055
908	7310.630126
909	7300.831007
910	7291.045956
911	7284.023694
912	7272.744834
913	7265.178689
914	7260.84009
915	7256.378185
916	7252.525415
917	7247.1077
918	7238.357078
919	7231.820979
920	7226.498255
921	7220.1638
922	7212.099677
923	7211.479728
924	7205.635449
925	7199.828511
926	7188.243624
927	7181.145748
928	7173.924918
929	7162.395419
930	7147.001392
931	7141.042364
932	7140.507056
933	7130.934106
934	7123.527583
935	7118.306477
936	7117.652657
937	7105.533302
938	7092.208046
939	7089.472254
940	7082.304201
941	7073.395559
942	7072.81937
943	7063.000736
944	7055.906653
945	7049.07769
946	7047.791559
947	7046.448292
948	7043.2123
949	7041.564603
950	7033.848701
951	7028.771495
952	7021.952524
953	7015.301041
954	7009.522131
955	7000.018903
956	6992.771411
957	6982.046673
958	6973.30472
959	6962.974604
960	6962.375333
961	6952.167524
962	6942.249418
963	6934.977011
964	6925.062782
965	6913.54573
966	6910.48744
967	6901.257134
968	6894.925201
969	6887.998598
970	6883.652369
971	6878.358068
972	6870.458651
973	6860.804659
974	6855.174552
975	6847.924564
976	6841.236218
977	6840.742403
978	6836.895669
979	6831.132352
980	6824.345912
981	6817.663031
982	6806.633546
983	6806.096639
984	6805.418102
985	6791.427981
986	6782.812937
987	6775.698184
988	6762.891712
989	6761.609552
990	6754.031574
991	6753.3431
992	6745.945651
993	6736.934046
994	6729.683847
995	6722.398263
996	6715.708336
997	6709.542285
998	6695.530704
999	6686.804583
