iter	Passed	Remaining
406	4323	6299
407	4331	6285
408	4339	6270
409	4347	6256
410	4355	6242
411	4365	6229
412	4373	6216
413	4383	6203
414	4389	6188
415	4398	6174
416	4407	6161
417	4416	6149
418	4425	6136
419	4434	6123
420	4443	6110
421	4450	6095
422	4458	6081
423	4466	6068
424	4476	6056
425	4483	6041
426	4493	6029
427	4501	6015
428	4510	6003
429	4518	5989
430	4527	5977
431	4535	5963
432	4546	5953
433	4558	5945
434	4566	5931
435	4575	5918
436	4583	5905
437	4592	5892
438	4599	5877
439	4609	5866
440	4618	5854
441	4628	5843
442	4637	5831
443	4646	5818
444	4656	5806
445	4663	5793
446	4675	5784
447	4690	5779
448	4705	5773
449	4723	5772
450	4753	5785
451	4797	5816
452	4830	5833
453	4857	5841
454	4887	5854
455	4913	5861
456	4934	5863
457	4952	5860
458	4977	5866
459	4997	5866
460	5035	5886
461	5048	5879
462	5062	5871
463	5077	5865
464	5088	5854
465	5098	5842
466	5109	5831
467	5118	5817
468	5126	5804
469	5136	5791
470	5143	5777
471	5151	5762
472	5160	5750
473	5168	5735
474	5176	5721
475	5184	5707
476	5193	5694
477	5203	5682
478	5210	5667
479	5219	5654
480	5228	5641
481	5241	5632
482	5253	5623
483	5261	5609
484	5269	5595
485	5276	5580
486	5285	5567
487	5292	5553
488	5300	5539
489	5307	5524
490	5314	5509
491	5322	5495
492	5330	5482
493	5338	5467
494	5346	5454
495	5354	5441
496	5364	5429
497	5374	5418
498	5383	5405
499	5393	5393
500	5403	5381
501	5414	5371
502	5424	5359
503	5435	5349
504	5445	5337
505	5453	5323
506	5461	5310
507	5470	5298
508	5479	5285
509	5486	5271
510	5497	5260
511	5508	5250
512	5518	5238
513	5528	5227
514	5538	5216
515	5550	5206
516	5562	5197
517	5577	5189
518	5587	5178
519	5597	5166
520	5610	5158
521	5619	5146
522	5629	5134
523	5639	5123
524	5648	5110
525	5658	5099
526	5669	5088
527	5683	5080
528	5697	5072
529	5706	5060
530	5715	5048
531	5725	5037
532	5735	5025
533	5745	5014
534	5756	5003
